smiles,permeability_CO2,selectivity_CO2_CH4
Cc1cc2-c(c(C)c1C)[CH3]1(C)CC[CH3]2(C)[c:2]2[c:1]1[c:6](C)[c:5]1[c:4]([cH:3]2)[CH2:10][N:9]2[CH2:8][N:7]1[CH2:11][c:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17]1,7140.0,10.214592274678111
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)[c:2]2[c:1]1[cH:6][c:5]1[c:4]([cH:3]2)[CH2:10][N:9]2[CH2:8][N:7]1[CH2:11][c:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17]1,2900.0,6.444444444444445
Cc1cc2c(cc1C)[C@H]1c3ccccc3[C@H]2[c:1]2[c:2]1[cH:3][c:4]1[c:5]([cH:6]2)[N:7]2[CH2:8][N:9]([CH2:10]1)[c:13]1[c:12]([cH:17][cH:16][cH:15][cH:14]1)[CH2:11]2,9709.0,10.72817679558011
Cc1cc2c(cc1C)[C@H]1c3cc4ccccc4cc3[C@H]2[c:1]2[c:2]1[cH:3][c:4]1[c:5]([cH:6]2)[N:7]2[CH2:8][N:9]([CH2:10]1)[c:13]1[c:12]([cH:17][cH:16][cH:15][cH:14]1)[CH2:11]2,13200.0,9.166666666666666
Cc1c(C)c(C)c([CH3]2C(=O)c3cc4c(cc3C2=O)[CH3]c2cc3c(cc2[CH3]4)C(C)(C)CC32CC(C)(C)c3cc4c(cc32)[CH3]c2cc3c(cc2[CH3]4)C(=O)N(C)C3=O)c(C)c1C,1100.0,14.285714285714286
C#c1[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]2[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]2)[cH:6][c:5]1[CH:7]1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,210.0,23.333333333333332
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)[CH:6]([c:5]1[cH:4][cH:3]c([C:6](C(F)(F)F)(C(F)(F)F)[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)[cH:8][cH:7]1)C2=O,520.0,19.25925925925926
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)[CH:9]([c:1]1[cH:2][cH:3][c:8](-[c:4]3[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]3[CH3:7])c(C(F)(F)F)[cH:6]1)C2=O,420.0,21.0
C=c1ccc2cc3(=C)(ccc2c1)C(=O)c1cc2c(cc1C3=O)[CH3]c1cc3c(cc1[CH3]2)C(C)(C)CC31CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,510.0,18.88888888888889
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,3700.0,14.23076923076923
