smiles,permeability_O2,selectivity_O2_N2
Cc1cc([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c(C)c1C,1.9,6.785714285714285
Cn1c(=O)c2[c-]c3c(=O)[c:7](-[c:5]4[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]5[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]5)[cH:6]4)c(=O)c3[c-]c2c1=O,2.58,7.166666666666667
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[CH:7]([c:5]3[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]5[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]5)[cH:6]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,3.73,6.781818181818181
CN1C(=O)c2ccc([CH3]c3ccc4c(c3)C(=O)[CH:7]([c:5]3[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]5[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]5)[cH:6]3)C4=O)cc2C1=O,0.54,9.000000000000002
CN1C(=O)c2cc[c:1]([CH3](c3ccc4c(c3)C(=O)[CH:7]([c:5]3[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]5[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]5)[cH:6]3)C4=O)=[O:4])cc2C1=O,0.6,7.5
CN1C(=O)c2cc[cH3](-c3ccc4c(c3)C(=O)[CH:7]([c:5]3[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]5[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]5)[cH:6]3)C4=O)cc2C1=O,0.72,8.0
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](/C(N)=N/O)c2c([cH3]1/C(N)=N/O)Oc1ccccc1O2)[CH3]3,147.0,4.454545454545454
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](C(N)=S)c2c([cH3]1C(N)=S)Oc1ccccc1O2)[CH3]3,140.0,3.7837837837837838
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](C(=O)O)c2c([cH3]1C(=O)O)Oc1ccccc1O2)[CH3]3,110.0,4.583333333333333
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([c:1](C(#N)=[O:4])c2c([cH3]1C(=O)O)Oc1ccccc1O2)[CH3]3,110.0,4.583333333333333
COC([c:1]1c2c([cH3](C(=O)O)c3c1Oc1ccccc1O3)[CH3]c1cc3c(cc1[CH3]2)C(C)(C)CC31CC(C)(C)c2cc(C)c(C)cc21)=[O:4],110.0,4.583333333333333
Cc1cc2c(c(C)c1C)C(C)(C)C[CH3]21C[CH3](C)(C)c2cc3c(c(C)c21)[CH3]c1c(c[cH3]([CH3](=O)(=O)c2cc4c(c(C)[cH3]2S(C)(=O)=O)Oc2ccccc2O4)[cH3](S(C)(=O)=O)c1C)[CH3]3,642.0,3.3789473684210525
Cc1cc2c(c[cH3]1O)C(C)(C)CC21CC(C)(C)c2c[cH3](O)[cH3](N3C(=O)c4ccc([CH3](c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,45.2,4.185185185185185
Cc1cc2c(c[cH3]1O)C(C)(C)CC21CC(C)(C)c2c[cH3](O)c(-n3c(=O)c4[c-]c5c(=O)n(C)c(=O)c5[c-]c4c3=O)cc21,30.5,4.420289855072464
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3[cH3](O)[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])[cH3](O)[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,19.3,5.078947368421053
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1[cH3](O)[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])[cH3](O)[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,98.0,4.083333333333333
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4c(cc31)C(=O)N(C)C4=O)c1cc3c(cc12)C(=O)[CH:7]([c:5]1[cH3](O)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]2[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]2)[cH:6]1)C3=O,8.5,5.666666666666667
Cc1cc2c(c(C)c1C)[CH3][N:7]1[c:5]3[c:4]([cH:3][c:2](C)[cH3](O)[c:6]3[CH3]3C(=O)c4ccc([CH3](c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)[CH2:10][CH3]2[CH2:8]1,13.6,6.017699115044248
Cc1cc2c(c(C)c1C)[CH3][N:7]1[c:5]3[c:4]([cH:3][c:2](C)[cH3](O)[c:6]3[CH3]3C(=O)c4cc5c(cc4C3=O)C3(CC5(C)C)CC(C)(C)c4cc5c(cc43)C(=O)N(C)C5=O)[CH2:10][CH3]2[CH2:8]1,75.7,4.5602409638554215
C[C@H]1[CH2:26][c:1]2[c:2]([cH:3][c:4]3[c:5]([cH:6]2)-[c:7]2[c:8]([cH:14][c:15](C)[c:16](C)[cH:17]2)[C@:9]32c3cc4c(cc3-[c:12]3[c:13]2[cH:18][c:19](C)[c:20](C)[cH:21]3)N[CH:6]([c:5]2[cH:4][cH:3]c([C:6](C(F)(F)F)(C(F)(F)F)[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)[cH:8][cH:7]2)O4)[CH2:27]1,19.3,5.078947368421053
C[C@H]1[CH2:26][c:1]2[c:2]([cH:3][c:4]3[c:5]([cH:6]2)-[c:7]2[c:8]([cH:14][c:15](C)[c:16](C)[cH:17]2)[C@:9]32c3cc4c(cc3-[c:12]3[c:13]2[cH:18][c:19](C)[c:20](C)[cH:21]3)N[CH:9](c2ccc3c(c2)[CH3]c2cc5c(cc2[CH3]3)C2(CC5(C)C)CC(C)(C)c3cc5c(cc32)[CH2:7][c:5]2[c:4]([cH:3][cH:2][c:1]([CH3:9])[cH:6]2)[CH2:8]5)O4)[CH2:27]1,98.0,4.083333333333333
C[C@@H]1Nc2cc3c(cc2O1)N[C@@H]([cH3]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH2:7]c1cc4c(cc1[CH2:8]2)C(C)(C)CC41CC(C)(C)c2cc4c(cc21)[CH3]c1ccc([CH3:9])cc1[CH3]4)O3,134.0,3.8285714285714287
